ID	PCR_type	guide	file
E2286_ID27_RPEDef_ATMi_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID27_RPEDef_ATMi_R1_T2.fastq.gz
E2286_ID28_RPEDef_DNAPKi_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID28_RPEDef_DNAPKi_R1_T1.fastq.gz
E2286_ID28_RPEDef_DNAPKi_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID28_RPEDef_DNAPKi_R1_T2.fastq.gz
E2286_ID29_RPEDef_tracr_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID29_RPEDef_tracr_R2_T1.fastq.gz
E2286_ID29_RPEDef_tracr_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID29_RPEDef_tracr_R2_T2.fastq.gz
E2286_ID3_RPE1_ATMi_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID3_RPE1_ATMi_R1_T1.fastq.gz
E2286_ID30_RPEDef_LBR2_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID30_RPEDef_LBR2_R2_T1.fastq.gz
E2286_ID30_RPEDef_LBR2_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID30_RPEDef_LBR2_R2_T2.fastq.gz
E2286_ID31_RPEDef_ATMi_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID31_RPEDef_ATMi_R2_T1.fastq.gz
E2286_ID31_RPEDef_ATMi_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID31_RPEDef_ATMi_R2_T2.fastq.gz
E2286_ID32_RPEDef_DNAPKi_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID32_RPEDef_DNAPKi_R2_T1.fastq.gz
E2286_ID32_RPEDef_DNAPKi_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID32_RPEDef_DNAPKi_R2_T2.fastq.gz
E2286_ID33_RPEDef_tracr_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID33_RPEDef_tracr_R3_T1.fastq.gz
E2286_ID33_RPEDef_tracr_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID33_RPEDef_tracr_R3_T2.fastq.gz
E2286_ID34_RPEDef_LBR2_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID34_RPEDef_LBR2_R3_T1.fastq.gz
E2286_ID34_RPEDef_LBR2_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID34_RPEDef_LBR2_R3_T2.fastq.gz
E2286_ID35_RPEDef_ATMi_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID35_RPEDef_ATMi_R3_T1.fastq.gz
E2286_ID35_RPEDef_ATMi_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID35_RPEDef_ATMi_R3_T2.fastq.gz
E2286_ID36_RPEDef_DNAPKi_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID36_RPEDef_DNAPKi_R3_T1.fastq.gz
E2286_ID36_RPEDef_DNAPKi_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID36_RPEDef_DNAPKi_R3_T2.fastq.gz
E2286_ID37_U2OS_tracr_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID37_U2OS_tracr_R1_T1.fastq.gz
E2286_ID37_U2OS_tracr_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID37_U2OS_tracr_R1_T2.fastq.gz
