"sample" "driver_mut" "count"
"140" "670f971f-a525-4ef8-91ba-610cfbaeb914" "EGFR" 437
"141" "6726c157-f688-491d-8b56-35628645df89" "CHEK2" 561
"142" "6764e0a2-7a78-45c1-9189-6001c6518ce4" "HELQ" 1251
"143" "68b7fdb1-22b5-4152-9e69-a41151640cd8" "SETD2" 1171
"144" "69dbe6ef-f5de-4c1f-b2f2-963dcb6ccd3e" "CHEK2" 642
"145" "6c8f3dc9-21bf-4859-9599-231ac040eb7d" "ATRX" 92
"146" "6ca5c1bb-275b-4d05-948a-3c6c7d03fab9" "ATM" 11305
"147" "6d0851ba-271a-408f-bcc3-c104b452c9e5" "SETD2" 141
"148" "6d3551d6-b5f4-4fd1-b8d7-8e5931096c19" "SETD2" 1019
"149" "6dc43234-4f07-4c53-8b07-8d78d9dbad3b" "MEN1" 154
"150" "6de41ac1-229b-40b9-a494-5588c284351d" "EGFR" 331
"151" "6e599fcc-d79a-4e0f-b451-c20768c989f9" "BLM" 350
"152" "706868b5-4920-433a-bea3-92e9bf83059b" "ATM" 1502
"153" "706868b5-4920-433a-bea3-92e9bf83059b" "BRCA2" 1246
"154" "708e21ac-f529-4461-bc4f-d3a194a92b80" "ATR" 587
"155" "7117854b-6f0a-4a43-b66c-506a3e29377d" "TRRAP" 481
"156" "715f59dd-a80f-422d-988c-f73f4b987baf" "ATM" 187
"157" "7163a0f7-2c69-40b8-8857-8ab3f46f0acf" "EGFR" 510
"158" "7181dd10-1371-4cb6-9219-a9542c62b854" "ATM" 466
"159" "7410c00d-ed0b-48dc-a4bf-eb76ac613980" "SETD2" 816
"160" "74e5905f-6350-498a-9454-9ea0593d2f56" "CHEK2" 214
"161" "7789ef18-c623-11e3-bf01-24c6515278c0" "BRCA2" 467
"162" "78103d9b-0b8a-431e-bb58-5c99fbea12e4" "BRCA2" 9027
"163" "786fc3e4-e2bf-4914-9251-41c800ebb2fa" "ATM" 2432
"164" "79353875-9d86-4063-a8ea-1d998acb1e81" "SETD2" 185
"165" "7a921087-8e62-4a93-a757-fd8cdbe1eb8f" "BRCA2" 1383
"166" "7ae3671f-bf98-4693-8f35-3b762c9121d4" "CHEK2" 262
"167" "7ae3671f-bf98-4693-8f35-3b762c9121d4" "MEN1" 262
"168" "7ae9b843-488f-459c-8c0d-c81dcae57f99" "BRCA2" 468
"169" "7b08e810-f3c9-4155-ac11-f45a3a4f8b41" "BRCA2" 720
"170" "7b318282-5df4-42bc-b1e0-0e4a66ba9204" "SETD2" 514
"171" "7cae6c0b-36fe-411b-bbba-093a4c846d84" "EGFR" 1175
"172" "7cb71498-6ada-43c6-912b-bad4f93cf580" "BRCA2" 1970
"173" "7ccb9a4d-6f48-41c2-a630-27fde8c67d60" "SETD2" 733
"174" "7ccee959-1e87-4a39-b6b3-840ddcb94995" "BRCA2" 1034
"175" "7d2da7ba-f57c-4083-9572-6fa98008083b" "EGFR" 2106
"176" "7e22401d-f4cd-44c5-8a01-b08a439e5a31" "MEN1" 407
"177" "7e584ff6-0b81-4f85-81da-b8117afee326" "CTR" 299
"178" "7f7e007e-4b06-4328-b116-6dcdb2ad8181" "ATM" 116
"179" "819b4304-c622-11e3-bf01-24c6515278c0" "SETD2" 1173
"180" "81b1e78c-6032-4ff4-b52a-83456b9450ea" "SETD2" 1131
"181" "81bc7f0c-865d-4801-a935-2ab04170df53" "BRCA2" 1359
"182" "8294a969-59a1-4d3b-895b-f07e96bf9f7a" "CTR" 460
"183" "83a1b304-2ec1-44ae-a9c5-8ad3a2a46a1f" "TRRAP" 206
"184" "84e601b7-dfa5-4cd5-9fef-07f03967a0d4" "EGFR" 2360
"185" "84e601b7-dfa5-4cd5-9fef-07f03967a0d4" "FANCF" 2360
"186" "857a8354-9589-424e-98f4-98b9bfd6dcb0" "SETD2" 129
"187" "8658f4f5-9a50-4195-8ea3-227951977647" "BRCA2" 359
"188" "878a7fe7-20ff-4651-9587-b4d6fd42e929" "CTR" 259
"189" "88e35d25-d98d-4576-8ebe-1cd74010ecd8" "SETD2" 2160
"190" "8c4ebff2-8318-4046-98f5-da8f6b1a9e3b" "ATRX" 104
"191" "8cbd1752-7eea-46d3-8623-09e96dfb1fdf" "MEN1" 141
"192" "914421d2-898e-433e-bb66-b1710eaae2c7" "EGFR" 534
"193" "91f458e6-64b7-454d-a542-b0aa23638fd8" "ATRX" 1212
"194" "91f458e6-64b7-454d-a542-b0aa23638fd8" "SETD2" 1212
"195" "93ff786e-0165-4b02-8d27-806d422e93fc" "ATM" 18051
"196" "945e6808-2887-4f32-ac32-8f9e00353bf6" "ATRX" 431
"197" "96e3db14-2bb1-4f68-aed6-5e794750c96e" "EGFR" 1343
"198" "96e99cf0-707e-49f3-9ec6-cb4f90ecf7e4" "MEN1" 82
"199" "96ef40c3-8d4c-4fe1-a33a-99f5b205a0bb" "EGFR" 389
"200" "9880c3c9-5685-42a7-8fe9-7585ea1a1d37" "EGFR" 307
"201" "9988eb07-01f6-4f83-8699-bb63e0525f08" "CTR" 1712
"202" "99e7016a-c3c1-431c-8838-beb78a3cc017" "ATM" 224
"203" "9bb9164e-ea1b-49ab-bbcc-f59cf8c32345" "ATM" 652
"204" "9c70688d-6e43-4520-9262-eaae4e4d597d" "MEN1" 368
"205" "9cb80280-c622-11e3-bf01-24c6515278c0" "ATRX" 581
"206" "9cfa4e8f-ea4d-433b-8c2c-54f66ecb7e43" "MEN1" 203
"207" "9ffe694e-b488-489e-bdbe-0800e505eec4" "ATM" 966
"208" "a0fe80e0-e3ac-485b-8a1a-4c80c101b874" "CTR" 215
"209" "a2034620-e4b5-4d4f-ac05-7fc1c098eb40" "ATM" 1128
"210" "a315b798-f037-48d5-91ed-e733e3bbd6ee" "CTR" 594
"211" "a4beedc3-0e96-4e1c-90b4-3674dfc01786" "ATRX" 200
"212" "a56cd282-f6c5-4373-b3d8-676562894598" "SETD2" 352
"213" "a6045753-60bb-4e65-bc89-1ef0b47aab35" "ATM" 1190
"214" "a78544d7-65c6-4778-af62-ceec24c14056" "ATRX" 507
"215" "a7a56d67-1bd7-4d69-9237-34c2d261261b" "BRCA2" 449
"216" "a8041e86-071e-46cd-8fb5-7ecdc1ab0553" "CTR" 182
"217" "a8f86b64-914c-4d89-897b-33bcdd1759f7" "EGFR" 280
"218" "a9a240f3-d237-4bb8-b968-e4a3cc7c2633" "ATM" 128
"219" "aa4a868a-df23-4eef-a618-e945aa2ce98a" "ATM" 2113
"220" "aacaba97-ecde-440b-aae0-0e9c608c4b24" "ATM" 421
"221" "acb5e263-111b-43d8-9bd1-adb9a54e0fc0" "MEN1" 100
"222" "b1d2457d-3267-46ba-9fdf-663985e60538" "SETD2" 30
"223" "b1e62d8e-24d2-4118-8cd0-3142acebdd5b" "EGFR" 273
"224" "b2afbcba-d67d-43f1-be3b-05f3a5836ec0" "ATM" 1517
"225" "b2d17671-d2e1-4c97-8b01-a976d5abe1d6" "ATRX" 930
"226" "b37d6283-6f95-4975-a794-f3d5c4bbc7b3" "ATM" 388
"227" "b37d6283-6f95-4975-a794-f3d5c4bbc7b3" "SETD2" 388
"228" "b3f1d232-4392-4258-9256-d38ff4b59f94" "BRCA2" 278
"229" "b41c63e8-bb85-4f83-9bc6-e611fd9ef075" "ATM" 1340
"230" "b42d183c-bc9c-4652-9e56-10c54c5ee96e" "TRRAP" 611
"231" "b4e5626b-44fe-4cdb-a7d5-42028e0dbc4d" "MEN1" 142
"232" "b5cabba2-30a4-458e-897c-00ec3fefa6d2" "ATM" 714
"233" "b6b6e1d3-c592-4836-bdad-d53af2dbcc9a" "ATM" 2286
"234" "b73523d7-f5a5-4140-8537-4df4d1ecf465" "EGFR" 958
"235" "b8068cbb-4523-4ac9-ab17-edd4eb0e2975" "MEN1" 57
"236" "b86e88e7-0d5f-4b32-a35f-dc97251ab990" "CTR" 195
"237" "ba096d4f-5a6c-4c31-ae03-e7483cf58c38" "MEN1" 565
"238" "ba94c29b-b76e-4d67-bf5a-ce6bc45d85f8" "ATRX" 449
"239" "bbdd7393-024b-4073-b5bc-ef7a68c15b8a" "BRCA2" 1881
"240" "bc0dee07-de20-44d6-be65-05af7e63ac96" "BLM" 644
"241" "bc0dee07-de20-44d6-be65-05af7e63ac96" "SETD2" 644
"242" "bf7462a2-394f-4838-bcb6-4d0126fa48b1" "EGFR" 417
"243" "bf91afc4-aa2b-4365-80c5-b98c9d118e10" "MEN1" 144
"244" "c2124bb2-30e1-4093-9a8a-3a188a6dc0a9" "CTR" 376
"245" "c27290e4-6835-448a-abdc-df8ddd5f4630" "EGFR" 272
"246" "c298ec82-8305-4c89-898f-268308f782b2" "ATM" 1143
"247" "c2aafb9c-230a-43df-9a43-b34aa145a7bd" "SETD2" 801
"248" "c766274a-3c1e-443f-9ed4-c0e2b9c904d1" "MEN1" 98
"249" "c76f7fcc-2748-4b6d-805e-d21652dd5e3a" "CTR" 693
"250" "c76f7fcc-2748-4b6d-805e-d21652dd5e3a" "EGFR" 1240
"251" "c9959f68-c385-4c1f-9188-8203844d288e" "BRCA2" 922
"252" "c9ad6b1c-baa0-45a7-b7c4-733728505b8a" "SETD2" 1258
"253" "c9e7cff0-aec2-4ff2-8091-7cbea2bf5991" "HELQ" 1038
"254" "c9f91ded-3b04-4cd1-8ea6-bbc635a8a4f0" "ATM" 5417
"255" "cbb788dd-964b-4cfd-80e1-979c7b5b3c52" "ATM" 751
"256" "cbb788dd-964b-4cfd-80e1-979c7b5b3c52" "SETD2" 751
"257" "d01710f9-efc8-4b5f-9e53-300b30f9219f" "ATM" 609
"258" "d0e033bc-8e97-4322-b3b1-8626f1e2449b" "TRRAP" 650
"259" "d1132127-1250-43af-9c16-425798a3d1a7" "EGFR" 404
"260" "d3709eea-ca2a-49ac-b79c-871a5473d450" "CTR" 451
"261" "d3d65db3-36f9-41c7-8e5e-1683ce94dfcb" "ATM" 2221
"262" "d515c7d2-2314-46bf-9736-ff3f3d2ab599" "ATRX" 104
"263" "d515c7d2-2314-46bf-9736-ff3f3d2ab599" "MEN1" 104
