"driver_mut" "ProjectName" "sample" "CLASS" "indel_n"
"83" "ATRX" "GBM-US" "b2d17671-d2e1-4c97-8b01-a976d5abe1d6" "MMEJ" 83
"84" "ATRX" "LGG-US" "2aeaab9f-4459-4be8-91e7-e0746cbd671c" "cNHEJ" 4
"85" "ATRX" "LGG-US" "2aeaab9f-4459-4be8-91e7-e0746cbd671c" "MMEJ" 12
"86" "ATRX" "LGG-US" "3a81f733-b3a3-4578-b925-a663612bc92c" "cNHEJ" 2
"87" "ATRX" "LGG-US" "3a81f733-b3a3-4578-b925-a663612bc92c" "MMEJ" 10
"88" "ATRX" "LGG-US" "a78544d7-65c6-4778-af62-ceec24c14056" "cNHEJ" 6
"89" "ATRX" "LGG-US" "a78544d7-65c6-4778-af62-ceec24c14056" "MMEJ" 20
"90" "ATRX" "LGG-US" "ba94c29b-b76e-4d67-bf5a-ce6bc45d85f8" "cNHEJ" 2
"91" "ATRX" "LGG-US" "ba94c29b-b76e-4d67-bf5a-ce6bc45d85f8" "MMEJ" 15
"92" "ATRX" "LGG-US" "f92a34fa-014e-4b41-a6d0-3b46b8c8a3ee" "cNHEJ" 1
"93" "ATRX" "LGG-US" "f92a34fa-014e-4b41-a6d0-3b46b8c8a3ee" "MMEJ" 5
"94" "ATRX" "LIRI-JP" "4ed52e0c-c623-11e3-bf01-24c6515278c0" "cNHEJ" 3
"95" "ATRX" "LIRI-JP" "4ed52e0c-c623-11e3-bf01-24c6515278c0" "MMEJ" 10
"96" "ATRX" "LIRI-JP" "9cb80280-c622-11e3-bf01-24c6515278c0" "cNHEJ" 14
"97" "ATRX" "LIRI-JP" "9cb80280-c622-11e3-bf01-24c6515278c0" "MMEJ" 28
"98" "ATRX" "LIRI-JP" "ffad9288-c622-11e3-bf01-24c6515278c0" "cNHEJ" 22
"99" "ATRX" "LIRI-JP" "ffad9288-c622-11e3-bf01-24c6515278c0" "MMEJ" 39
"100" "ATRX" "PAEN-AU" "00508f2b-36bf-44fc-b66b-97e1f3e40bfa" "cNHEJ" 2
"101" "ATRX" "PAEN-AU" "00508f2b-36bf-44fc-b66b-97e1f3e40bfa" "MMEJ" 14
"102" "ATRX" "PAEN-AU" "4b5d9d8c-ff95-45f4-9287-2804e8a98ade" "cNHEJ" 6
"103" "ATRX" "PAEN-AU" "4b5d9d8c-ff95-45f4-9287-2804e8a98ade" "MMEJ" 16
"104" "ATRX" "PAEN-AU" "63a907ff-1042-4f9c-a385-55a32b3e103b" "cNHEJ" 3
"105" "ATRX" "PAEN-AU" "63a907ff-1042-4f9c-a385-55a32b3e103b" "MMEJ" 3
"106" "ATRX" "PAEN-AU" "6c8f3dc9-21bf-4859-9599-231ac040eb7d" "cNHEJ" 5
"107" "ATRX" "PAEN-AU" "6c8f3dc9-21bf-4859-9599-231ac040eb7d" "MMEJ" 9
"108" "ATRX" "PAEN-AU" "8c4ebff2-8318-4046-98f5-da8f6b1a9e3b" "cNHEJ" 4
"109" "ATRX" "PAEN-AU" "8c4ebff2-8318-4046-98f5-da8f6b1a9e3b" "MMEJ" 8
