UniProtKB:Q8N6S5	ARL6IP6
UniProtKB:O95619	YEATS4
UniProtKB:Q9BX63	BRIP1
UniProtKB:Q9NZL3	ZNF224
UniProtKB:Q9NZM1	MYOF
UniProtKB:Q8N6L0	KASH5
UniProtKB:Q02643	GHRHR
UniProtKB:O14980	XPO1
UniProtKB:P40238	MPL
UniProtKB:P36639	NUDT1
UniProtKB:Q9HD36	BCL2L10
